Источник,Территория,Ключевое слово,Название,Год от,Год до,URL,Описание
gpib,Калужская губерния,карта,КартаКалужскойгубернии,,,http://elib.shpl.ru/ru/nodes/88747,
gpib,Калужская губерния,карта,Картаволостей Вологодскойгубернии,,,http://elib.shpl.ru/ru/nodes/115475,
gpib,Калужская губерния,карта,"Т. 76, № 1 : ДиалектологическаякартаКалужскойгубернии. - 1903.",1903,1903,http://elib.shpl.ru/ru/nodes/85795,
gpib,Калужская губерния,карта,"Харьковскаягуберния.Картагуберний: Харьковской, Орловской, Тамбовской, Воронежской, Курской и Земли",,,http://elib.shpl.ru/ru/nodes/20655,
gpib,Калужская губерния,карта,Карта«North Atlantic» (Северная Атлантика) Вильям Борро1576 г.,,,http://elib.shpl.ru/ru/nodes/114065,
gpib,Калужская губерния,карта,"империалистическая война. 1914-1918. Подробная карманнаякартавоенных действий. - М., [1915].",1914,1918,http://elib.shpl.ru/ru/nodes/19216,
gpib,Калужская губерния,карта,"КартаСмоленского,Калужскогои Могилевского наместничеств",,,http://elib.shpl.ru/ru/nodes/58873,
gpib,Калужская губерния,карта,"Фрагменткарты«Nova absolutaque Russiae, Moscoviae et Tartariae Descriptio. Authore Antonio Jenkinsono",,,http://elib.shpl.ru/ru/nodes/114048,
gpib,Калужская губерния,карта,«Russia» из атласа «Atlas Sive Cosmographicae Meditationes de Fabrica Mundi et Fabricati Figura ; Orbis Terrae Compendiosa Descriptio Ex peristissimorum totius orbis Gaeographorum operibus desumpta,,,http://elib.shpl.ru/ru/nodes/114083,
gpib,Калужская губерния,карта,"Карта«A coloured manuscript map of the coasts of Norway, Lapland and North West Russia, by William Borough",,,http://elib.shpl.ru/ru/nodes/114047,
gpib,Калужская губерния,карта,Карта«A chart of the coasts of Great Britain and the east coast of Ireland» (Картаберегов Великобритании,,,http://elib.shpl.ru/ru/nodes/114063,
gpib,Калужская губерния,карта,Фрагменткарты«Orbis Terrae Compendiosa Descriptio Quam ex Magna  Universali Mercatoris <. . .> MDLXXXVII»,,,http://elib.shpl.ru/ru/nodes/114067,
gpib,Калужская губерния,карта,Фрагменткарты«Orbis Terrarum Typus De Integro Multis In Locis Emendatus auctore Petro Plancio» Петрус,,,http://elib.shpl.ru/ru/nodes/114069,
gpib,Калужская губерния,карта,"Фрагменткарты«Generale pascaerte van gantsch Europa:  inhoudende de geheele Oostersche, Noortsche en",,,http://elib.shpl.ru/ru/nodes/114068,
gpib,Калужская губерния,карта,"по Вологодскойгубернииза 1917-1924 годы : с приложением схематическойкартыгубернии. - Вологда , 1926",1917,1926,http://elib.shpl.ru/ru/nodes/77910,
gpib,Калужская губерния,карта,Фрагменткарты«Polus Arcticus» из атласа «Atlas Sive Cosmographicae Meditationes de Fabrica  Mundi et,,,http://elib.shpl.ru/ru/nodes/114080,
gpib,Калужская губерния,карта,Картаволостей Гродненскойгубернии,,,http://elib.shpl.ru/ru/nodes/115461,
gpib,Калужская губерния,карта,"Русско-японская война (1904-1905).КартаДальнего Востока. – СПб., 1904.",1904,1905,http://elib.shpl.ru/ru/nodes/110320,
gpib,Калужская губерния,карта,: Текст : с приложением схематической почвеннойкартыМещовского уезда. - 1912.,1912,1912,http://elib.shpl.ru/ru/nodes/78314,
