Источник,Территория,Ключевое слово,Название,Год от,Год до,URL,Описание
prlib,Калужская губерния,карта,"Витебская губерния . Карта дорог, утвержденных Витебским губернским распорядительным комитетом, по Полоцкому уезду",,,https://prlib.ru/item/324308,
prlib,Калужская губерния,карта,Генеральная карта Киевской губернии с обозначением месторождений полезных ископаемых. Б/д.(Графика),,,https://prlib.ru/item/329424,
prlib,Калужская губерния,карта,Геогностическая карта Путивльского уезда Курской губернии . 1837 г.(Графика),1837,1837,https://prlib.ru/item/329435,
prlib,Калужская губерния,карта,"Материалы для географии и статистики России, собранные офицерами Генерального штаба. [Т. 9]. Калужская губерния",,,https://prlib.ru/item/426814,
prlib,Калужская губерния,карта,"Материалы для географии и статистики России, собранные офицерами Генерального штаба. [Т. 9]. Калужская губерния",,,https://prlib.ru/item/426813,
prlib,Калужская губерния,карта,Карта Казанской губернии с обозначением месторождений полезных ископаемых и указанием лесных массивов. Б/д.(Графика),,,https://prlib.ru/item/335958,
prlib,Калужская губерния,карта,"Волости и гмины 1890 года. .... Приложение. Губернии и области: LI - LX - Привислянские, LXI - LXXII - Кавказского края. Карты волостей",1890,1890,https://prlib.ru/item/404514,
prlib,Калужская губерния,карта,Карта волостей Иркутской губернии // Статистика Российской империи. 27 : Волости и населенные места 1893 года,1893,1893,https://prlib.ru/item/417476,
prlib,Калужская губерния,карта,Карта Нижнеудинского округа Иркутской губернии // Материалы по исследованию землепользования... и хозяйственного быта сельского населения Иркутской и Енисейской губерний . Т. 2 : Иркутская губерния,,,https://prlib.ru/item/417497,
prlib,Калужская губерния,карта,Карта Иркутского округа Иркутской губернии // Материалы по исследованию землепользования... и хозяйственного быта сельского населения Иркутской и Енисейской губерний . Т. 2 : Иркутская губерния,,,https://prlib.ru/item/417485,
prlib,Калужская губерния,карта,Карта Верхоленского округа Иркутской губернии // Материалы по исследованию землепользования... и хозяйственного быта сельского населения Иркутской и Енисейской губерний . Т. 2 : Иркутская губерния,,,https://prlib.ru/item/417470,
prlib,Калужская губерния,карта,Карта Балаганского округа Иркутской губернии // Материалы по исследованию землепользования... и хозяйственного быта сельского населения Иркутской и Енисейской губерний . Т. 2 : Иркутская губерния,,,https://prlib.ru/item/417469,
prlib,Калужская губерния,карта,"Схематическая карта волостей и инородческих ведомств округов: Иркутского, Балаганского... и Нижнеудинского // Материалы по исследованию землепользования и хозяйственного быта сельского населения Иркутской и Енисейской губерний . Т. 2 : Иркутская губерния",,,https://prlib.ru/item/454242,
