Источник,Территория,Ключевое слово,Название,Год от,Год до,URL,Описание,Решение,Комментарий
prlib,Калужская губерния,карта,Холмская губерния,,,https://prlib.ru/item/389348,,,
prlib,Калужская губерния,карта,По Минской губернии,,,https://prlib.ru/item/437605,,,
prlib,Калужская губерния,карта,Тверская губерния,,,https://prlib.ru/item/372775,,,
prlib,Калужская губерния,карта,Эриванская губерния,,,https://prlib.ru/item/463206,,,
prlib,Калужская губерния,карта,Енисейская губерния,,,https://prlib.ru/item/408265,,,
prlib,Калужская губерния,карта,Владимирская губерния,,,https://prlib.ru/item/400844,,,
prlib,Калужская губерния,карта,Новгородская губерния,,,https://prlib.ru/item/351557,,,
prlib,Калужская губерния,карта,Смоленская губерния,,,https://prlib.ru/item/446264,,,
prlib,Калужская губерния,план,Холмская губерния,,,https://prlib.ru/item/389348,,,
prlib,Калужская губерния,план,По Минской губернии,,,https://prlib.ru/item/437605,,,
prlib,Калужская губерния,план,Тверская губерния,,,https://prlib.ru/item/372775,,,
prlib,Калужская губерния,план,Эриванская губерния,,,https://prlib.ru/item/463206,,,
prlib,Калужская губерния,план,Енисейская губерния,,,https://prlib.ru/item/408265,,,
prlib,Калужская губерния,план,Владимирская губерния,,,https://prlib.ru/item/400844,,,
prlib,Калужская губерния,план,Новгородская губерния,,,https://prlib.ru/item/351557,,,
prlib,Калужская губерния,план,Смоленская губерния,,,https://prlib.ru/item/446264,,,
prlib,Калужская губерния,план,Штаты губерниям,,,https://prlib.ru/item/462983,,,
prlib,Калужская губерния,план,Псковская губерния,,,https://prlib.ru/item/441139,,,
prlib,Калужская губерния,план,Ярославская губерния,,,https://prlib.ru/item/392028,,,
prlib,Калужская губерния,план,Московская губерния,,,https://prlib.ru/item/427816,,,
prlib,Калужская губерния,план,География Оренбургской губернии,,,https://prlib.ru/item/406211,,,
prlib,Калужская губерния,план,Стат Нижегородской губернии,,,https://prlib.ru/item/453874,,,
prlib,Калужская губерния,план,Стат Московской губернии,,,https://prlib.ru/item/453873,,,
prlib,Калужская губерния,план,Заметки об Астраханской губернии,,,https://prlib.ru/item/333418,,,
prlib,Калужская губерния,план,География Оренбургской губернии,,,https://prlib.ru/item/329467,,,
prlib,Калужская губерния,план,Справочная книжка Тобольской губернии,,,https://prlib.ru/item/451302,,,
prlib,Калужская губерния,план,Ленинград и Ленинградская губерния,,,https://prlib.ru/item/425868,,,
prlib,Калужская губерния,план,Воды Владимирской губернии,,,https://prlib.ru/item/403294,,,
prlib,Калужская губерния,план,Стат Санктпетербургской губернии,,,https://prlib.ru/item/453877,,,
prlib,Калужская губерния,план,Статистические очерки Казанской губернии,,,https://prlib.ru/item/453909,,,
prlib,Калужская губерния,план,Справочная книжка Московской губернии,,,https://prlib.ru/item/451296,,,
prlib,Калужская губерния,план,Естественные районы Самарской губернии,,,https://prlib.ru/item/408295,,,
prlib,Калужская губерния,план,Воспоминания о Саратовской губернии,,,https://prlib.ru/item/404628,,,
prlib,Калужская губерния,план,Ростовский уезд Ярославской губернии,,,https://prlib.ru/item/442293,,,
prlib,Калужская губерния,план,Краткое описание Олонецкой губернии,,,https://prlib.ru/item/425622,,,
prlib,Калужская губерния,план,Справочник по Иркутской губернии,,,https://prlib.ru/item/451305,,,
prlib,Калужская губерния,план,"Штат Эстляндской губернии ,",,,https://prlib.ru/item/462982,,,
prlib,Калужская губерния,план,Населенные места Воронежской губернии,,,https://prlib.ru/item/350973,,,
prlib,Калужская губерния,план,Вся Тула и Тульская губерния,,,https://prlib.ru/item/405945,,,
prlib,Калужская губерния,план,Опыт описания Вологодской губернии,,,https://prlib.ru/item/434867,,,
prlib,Калужская губерния,план,Статистическое описание Ярославской губернии,,,https://prlib.ru/item/372263,,,
prlib,Калужская губерния,план,Бийский уезд Томской губернии,,,https://prlib.ru/item/398980,,,
